,Name, Gold,Bond_rate,Breakeven_Inflation,Case_shiller,Cons_price_index,Construction_spending,Corp_profits,Debt,Exchange_rate,GDP,Housing_starts,Ind_production,Oil,Prod_price_index,Unemployment
177,FRT,-0.428604355409,-0.578167749003,-0.689968835791,0.903398190422,0.970149414982,0.950398208208,0.620740154319,0.844889527989,0.851391994356,0.962524632166,0.923437653022,0.845309158477,-0.692211447218,-0.210988315594,-0.916641950043
178,FTI,0.510770196657,0.00532466698569,0.627752727384,-0.433300698697,-0.327783056763,-0.461196401001,0.0105224219319,-0.100912340025,-0.682931198515,-0.543457921724,-0.260304963534,0.0888553956797,0.795603225692,0.827404006512,0.649492932802
179,GD,-0.591066279883,-0.36865098691,-0.686313414957,0.961517527966,0.947379270888,0.967401414393,0.596369212404,0.78032292952,0.878831051234,0.952250905828,0.880418593029,0.764457505601,-0.71813431504,-0.302613574793,-0.952511637198
180,GE,-0.466042291112,-0.518173663562,-0.633155476926,0.92325917245,0.971963016502,0.943958622951,0.663552888692,0.88516252294,0.841810447453,0.961819350467,0.923571329894,0.823588572099,-0.649732137392,-0.211190899431,-0.924446773195
181,GGP,-0.449558956485,-0.554822757059,-0.640621068768,0.881592271309,0.941738508855,0.912157118637,0.698260611784,0.848042418649,0.7839795522,0.934508497602,0.905289199923,0.897202675779,-0.627121984842,-0.133791412852,-0.880557212118
182,GILD,-0.551630160559,-0.360691627069,-0.504555828105,0.849945623314,0.861381288337,0.845224534116,0.725869951344,0.789383080095,0.654549948805,0.823198734012,0.869208025158,0.91509283396,-0.491168380682,-0.000599663898457,-0.783065388824
183,GIS,-0.480424876406,-0.505478983797,-0.663369197444,0.943138336645,0.977191318281,0.962407820991,0.587745562325,0.870223384647,0.859066922879,0.956678346111,0.928586836249,0.803509146092,-0.691156451694,-0.245771071265,-0.943071816404
184,GLW,-0.702244116561,-0.00868672867165,-0.582515107376,0.805841778838,0.691134503142,0.750059526267,0.435831394247,0.546015137026,0.713653244878,0.748396978936,0.610853391436,0.48437145414,-0.633706255381,-0.425551588648,-0.82185870795
185,GOOGL,-0.522491622966,-0.460101921306,-0.681077682285,0.962549420344,0.974705538799,0.97219216468,0.599616296613,0.830769872797,0.876614779329,0.961360424042,0.932227685915,0.78554448035,-0.690922077017,-0.265199339614,-0.955417106499
186,GPC,-0.386688037148,-0.55095584802,-0.556817833231,0.888240228868,0.960403667481,0.905036161515,0.707428073747,0.930103904461,0.734854624117,0.933735034732,0.927571946695,0.919246807067,-0.52507571229,-0.0216241127227,-0.868670291046
187,GPN,-0.549490920542,-0.40813356683,-0.786334890738,0.929000840068,0.923490685798,0.959336181722,0.438252513382,0.707330917228,0.95492692889,0.942343311755,0.839805929239,0.631200003674,-0.840606564852,-0.477408905122,-0.965376675453
188,GPS,-0.0867618820012,-0.334376159464,0.11456964527,0.316463400408,0.410881214169,0.303131005871,0.781272030111,0.615939676783,0.0277017332692,0.298048023071,0.503647838948,0.73771427752,0.163150183681,0.519088843636,-0.141611199745
189,GRMN,-0.287703992258,-0.376507830159,-0.377185715636,0.722201002827,0.781997503714,0.726613393096,0.645014057284,0.845531788838,0.503297467306,0.751639866505,0.738879659951,0.803486737978,-0.243840793238,0.158761034421,-0.669686546071
190,GS,-0.653221477018,-0.15298880109,-0.471593532451,0.816997624377,0.724913488766,0.763828388673,0.621465596593,0.631353944467,0.693390591803,0.770418739783,0.702884598935,0.597669500186,-0.586073663592,-0.312759911918,-0.81623655919
191,GT,-0.636842689768,-0.283477948234,-0.650767764913,0.942915732474,0.923809459549,0.934705492713,0.61991598444,0.782370504415,0.832554891787,0.942916611736,0.868540311426,0.785662329242,-0.666439639922,-0.233422639244,-0.943867737241
192,GWW,-0.0662482534349,-0.609237800166,-0.228884525156,0.620612071351,0.776971603007,0.650973618773,0.720444879022,0.897752394797,0.412133571178,0.652827555859,0.785246791466,0.909480236086,-0.138309270611,0.356911329365,-0.495752505398
193,HAL,-0.221781222844,-0.00743360284642,-0.0103463688229,0.454920635008,0.447808457416,0.388015371765,0.370971954491,0.544602957535,0.153333319296,0.348159824427,0.421084698641,0.541155952911,0.0581364087365,0.300735326434,-0.352833678659
